track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,release_date,in_playlist
1ZNVczQsUBA64aWhvWqaap,CtrlAltDelete,['BONES'],66,UNRENDERED,spotify:track:1ZNVczQsUBA64aWhvWqaap,0.69,0.803,7,-9.084,0,0.0915,0.577,6.49e-05,0.117,0.204,161.489,audio_features,1ZNVczQsUBA64aWhvWqaap,https://api.spotify.com/v1/tracks/1ZNVczQsUBA64aWhvWqaap,https://api.spotify.com/v1/audio-analysis/1ZNVczQsUBA64aWhvWqaap,178224,4,2017,0
2dc70W1z75YK6peF3MHEsJ,Waste It Well,['Kaleb Sanders'],41,Closure,,0.588,0.734,7,-4.429,1,0.0449,0.28,0.0,0.0972,0.465,133.046,audio_features,,,,196631,4,2024,1
2cRGtq0C4rmYVuLqCPmHsE,Gone,['Sikora'],3,Gone,,0.507,0.849,11,-4.809,0,0.0525,0.245,0.108,0.357,0.19,129.77,audio_features,,,,216807,4,2023,1
48qdvPADsdOV9UIi3nM3FE,Mercy,['Yasmin Sydney'],16,Mercy,,0.573,0.614,9,-11.053,0,0.0331,0.0194,0.00136,0.0873,0.182,124.965,audio_features,,,,200280,4,2024,1
58UBpTltoiJOkMy93xTOuR,Signal,['u dream'],8,Signal,,0.695,0.769,0,-5.711,1,0.0632,0.19,0.0,0.0643,0.837,104.984,audio_features,,,,160000,4,2024,1
5Erc0rv16PU4Z5Zt16kGQe,Sittin' Up In My Room,['Brandy'],52,The Best of Brandy,spotify:track:5Erc0rv16PU4Z5Zt16kGQe,0.791,0.61,8,-5.408,0,0.0264,0.288,0.00123,0.0457,0.907,93.277,audio_features,5Erc0rv16PU4Z5Zt16kGQe,https://api.spotify.com/v1/tracks/5Erc0rv16PU4Z5Zt16kGQe,https://api.spotify.com/v1/audio-analysis/5Erc0rv16PU4Z5Zt16kGQe,291067,4,2005,0
36UmYPz7cIPQw9y8Rj6mJK,Sixth Sense,['Matty Gottesman'],15,Sixth Sense,,0.639,0.842,7,-6.731,1,0.0367,0.0835,8.22e-06,0.216,0.911,161.93,audio_features,,,,158170,4,2023,1
5O4ZiI6ZTazdJqEhoVmZFL,Bewaffa,['Pav Dharia'],34,My Turn,spotify:track:5O4ZiI6ZTazdJqEhoVmZFL,0.676,0.602,4,-8.127,1,0.0979,0.00704,0.0,0.434,0.394,79.963,audio_features,5O4ZiI6ZTazdJqEhoVmZFL,https://api.spotify.com/v1/tracks/5O4ZiI6ZTazdJqEhoVmZFL,https://api.spotify.com/v1/audio-analysis/5O4ZiI6ZTazdJqEhoVmZFL,297000,4,2013,0
5OLaVCAM2pqg7X9mAM2W8M,What He Didn't Do,['Carly Pearce'],66,29: Written In Stone,spotify:track:5OLaVCAM2pqg7X9mAM2W8M,0.628,0.632,9,-5.932,1,0.0325,0.257,0.0,0.288,0.559,137.854,audio_features,5OLaVCAM2pqg7X9mAM2W8M,https://api.spotify.com/v1/tracks/5OLaVCAM2pqg7X9mAM2W8M,https://api.spotify.com/v1/audio-analysis/5OLaVCAM2pqg7X9mAM2W8M,191227,4,2021,0
1RFqw8leAnEoMdmVgyT8cH,Rules,"['Dj Remo', 'Ada']",36,Rules,,0.695,0.914,1,-4.987,0,0.0548,0.0115,0.000291,0.124,0.576,149.977,audio_features,,,,141600,4,2024,1
3nnTJqkOUOqw2BogwK5zz2,Back on the Road Again,['REO Speedwagon'],40,Nine Lives,spotify:track:3nnTJqkOUOqw2BogwK5zz2,0.49,0.695,0,-12.161,1,0.0356,1.61e-05,0.000229,0.146,0.574,122.653,audio_features,3nnTJqkOUOqw2BogwK5zz2,https://api.spotify.com/v1/tracks/3nnTJqkOUOqw2BogwK5zz2,https://api.spotify.com/v1/audio-analysis/3nnTJqkOUOqw2BogwK5zz2,339133,4,1979,0
0kAP7Uplwp2iLLsNgsdWxc,Kannu Rendum,"['Devi Sri Prasad', 'Priya Ramesh', 'Mukesh']",55,Kutty (Original Motion Picture Soundtrack),spotify:track:0kAP7Uplwp2iLLsNgsdWxc,0.812,0.97,0,-3.647,1,0.104,0.134,0.00031,0.0177,0.927,85.057,audio_features,0kAP7Uplwp2iLLsNgsdWxc,https://api.spotify.com/v1/tracks/0kAP7Uplwp2iLLsNgsdWxc,https://api.spotify.com/v1/audio-analysis/0kAP7Uplwp2iLLsNgsdWxc,284653,4,2010,0
4jCI2uxJuwtcVeW59hUioe,Immortal Queen (feat. Chaka Khan & Bianca Costa),"['Sia', 'Chaka Khan', 'Bianca Costa']",44,Immortal Queen (feat. Chaka Khan & Bianca Costa),spotify:track:4jCI2uxJuwtcVeW59hUioe,0.52,0.817,6,-4.75,0,0.0399,0.0114,0.0,0.105,0.506,88.014,audio_features,4jCI2uxJuwtcVeW59hUioe,https://api.spotify.com/v1/tracks/4jCI2uxJuwtcVeW59hUioe,https://api.spotify.com/v1/audio-analysis/4jCI2uxJuwtcVeW59hUioe,201760,4,2024,0
