track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
3a3dQOO19moXPeTt2PomoT,What You Heard,['Sonder'],76,What You Heard,spotify:track:3a3dQOO19moXPeTt2PomoT,0.429,0.371,2,-9.017,0,0.0327,0.546,5.71e-06,0.104,0.135,137.134,audio_features,3a3dQOO19moXPeTt2PomoT,https://api.spotify.com/v1/tracks/3a3dQOO19moXPeTt2PomoT,https://api.spotify.com/v1/audio-analysis/3a3dQOO19moXPeTt2PomoT,238242,4
74fQgHleHZ4V7Gm1XYcGkj,One Night Only,['Sonder'],74,One Night Only,spotify:track:74fQgHleHZ4V7Gm1XYcGkj,0.874,0.402,4,-5.786,1,0.0691,0.263,0.00094,0.147,0.764,119.99,audio_features,74fQgHleHZ4V7Gm1XYcGkj,https://api.spotify.com/v1/tracks/74fQgHleHZ4V7Gm1XYcGkj,https://api.spotify.com/v1/audio-analysis/74fQgHleHZ4V7Gm1XYcGkj,195910,4
3tkxfORwPo2zydAf25YFOc,Care,['Sonder'],70,Into,spotify:track:3tkxfORwPo2zydAf25YFOc,0.36,0.182,10,-16.803,0,0.0388,0.889,7.53e-06,0.117,0.098,126.721,audio_features,3tkxfORwPo2zydAf25YFOc,https://api.spotify.com/v1/tracks/3tkxfORwPo2zydAf25YFOc,https://api.spotify.com/v1/audio-analysis/3tkxfORwPo2zydAf25YFOc,164489,3
0QyJXG36Q3Kta662XS8GhY,Too Fast,['Sonder'],69,Into,spotify:track:0QyJXG36Q3Kta662XS8GhY,0.407,0.323,4,-11.076,0,0.041,0.281,2.42e-05,0.487,0.136,99.209,audio_features,0QyJXG36Q3Kta662XS8GhY,https://api.spotify.com/v1/tracks/0QyJXG36Q3Kta662XS8GhY,https://api.spotify.com/v1/audio-analysis/0QyJXG36Q3Kta662XS8GhY,295801,3
6VFKuuqSbA1GpMEosUgTwQ,Nobody But You,"['Sonder', 'Jorja Smith']",68,Nobody But You,spotify:track:6VFKuuqSbA1GpMEosUgTwQ,0.637,0.299,7,-11.314,1,0.0366,0.742,0.0,0.359,0.364,83.872,audio_features,6VFKuuqSbA1GpMEosUgTwQ,https://api.spotify.com/v1/tracks/6VFKuuqSbA1GpMEosUgTwQ,https://api.spotify.com/v1/audio-analysis/6VFKuuqSbA1GpMEosUgTwQ,213214,4
0vA6Nhloi5UX2jmqX5Tvk9,Mad Riches,['Sonder'],65,Too Late To Die Young,spotify:track:0vA6Nhloi5UX2jmqX5Tvk9,0.395,0.241,3,-11.555,0,0.045,0.948,0.000418,0.117,0.248,77.873,audio_features,0vA6Nhloi5UX2jmqX5Tvk9,https://api.spotify.com/v1/tracks/0vA6Nhloi5UX2jmqX5Tvk9,https://api.spotify.com/v1/audio-analysis/0vA6Nhloi5UX2jmqX5Tvk9,116129,4
1uverlfbbG8InEPioAwB8y,Feel,['Sonder'],63,Into,spotify:track:1uverlfbbG8InEPioAwB8y,0.455,0.255,6,-14.512,0,0.0377,0.525,0.00176,0.382,0.195,131.959,audio_features,1uverlfbbG8InEPioAwB8y,https://api.spotify.com/v1/tracks/1uverlfbbG8InEPioAwB8y,https://api.spotify.com/v1/audio-analysis/1uverlfbbG8InEPioAwB8y,232502,4
2fadrikKAPlypHJWhvv8CM,Baldwin Park,['Sonder'],62,Into,spotify:track:2fadrikKAPlypHJWhvv8CM,0.724,0.297,5,-11.687,0,0.0508,0.612,0.797,0.191,0.388,125.003,audio_features,2fadrikKAPlypHJWhvv8CM,https://api.spotify.com/v1/tracks/2fadrikKAPlypHJWhvv8CM,https://api.spotify.com/v1/audio-analysis/2fadrikKAPlypHJWhvv8CM,95108,3
3ijLtvQmoX17q1wTgU7SiI,Break You Off,['Sonder'],62,Too Late To Die Young,spotify:track:3ijLtvQmoX17q1wTgU7SiI,0.788,0.394,11,-9.519,1,0.0929,0.797,0.0,0.535,0.471,105.002,audio_features,3ijLtvQmoX17q1wTgU7SiI,https://api.spotify.com/v1/tracks/3ijLtvQmoX17q1wTgU7SiI,https://api.spotify.com/v1/audio-analysis/3ijLtvQmoX17q1wTgU7SiI,127143,4
2WcPWXOjoDKDVouyyWV8Eq,Searchin,['Sonder'],61,Into,spotify:track:2WcPWXOjoDKDVouyyWV8Eq,0.718,0.396,10,-12.539,0,0.0357,0.148,1.08e-05,0.176,0.338,103.994,audio_features,2WcPWXOjoDKDVouyyWV8Eq,https://api.spotify.com/v1/tracks/2WcPWXOjoDKDVouyyWV8Eq,https://api.spotify.com/v1/audio-analysis/2WcPWXOjoDKDVouyyWV8Eq,264242,4
